datetime,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER
2/21/04,1.163822412,0.818356878,,0,61
2/22/04,1.163822412,0.815525194,,0,58.5
2/23/04,1.160990727,0.80136677,,6.096,65
2/24/04,1.27142643,0.968436167,,12.446,56
2/25/04,1.336555178,1.2770898,,0,44
2/26/04,1.311070016,1.237446214,,0,48.5
2/27/04,1.279921484,1.172317466,,0,49.5
2/28/04,1.262931376,1.121347141,,0.254,56.5
2/29/04,1.251604637,1.08453524,,4.826,57.5
3/1/04,1.217624421,1.059050078,,0,63.5
3/2/04,1.169485781,1.039228285,,4.572,60
3/3/04,1.217624421,1.005248069,,0.254,71
3/4/04,1.217624421,1.027901546,,18.034,65
3/5/04,1.217624421,1.226119475,,0,65
3/6/04,1.217624421,1.2770898,,0,63
3/7/04,1.245941268,1.231782845,,0,65.5
3/8/04,1.245941268,1.183644205,,0,62.5
3/9/04,1.245941268,1.138337249,,0,63.5
3/10/04,1.274258115,1.112852087,,0,60
3/11/04,1.274258115,1.070376817,,0,65
3/12/04,1.282753169,1.044891654,,3.048,59.5
3/13/04,1.328060124,1.04205997,,8.636,58
3/14/04,1.347881917,1.09019861,,0.762,66.5
3/15/04,1.353545287,1.543268162,,14.732,68
3/16/04,1.345050233,1.679189027,,1.778,66.5
3/17/04,1.347881917,1.673525658,,0,71
3/18/04,1.353545287,1.642377126,,0,70.5
3/19/04,1.353545287,1.591406801,,0.762,74
3/20/04,1.350713602,1.537604792,,0.508,72
3/21/04,1.347881917,1.492297837,,0,66
3/22/04,1.345050233,1.444159197,,0,64.5
3/23/04,1.353545287,1.390357188,,0,63
3/24/04,1.356376971,1.333723494,,5.334,66.5
3/25/04,1.350713602,1.288416539,,0,73
3/26/04,1.359208656,1.231782845,,0,74
3/27/04,1.342218548,1.209129367,,0,74
3/28/04,1.339386863,1.18081252,,0.254,71
3/29/04,1.330891809,1.146832304,,0,65
3/30/04,1.328060124,1.129842195,,0,67
3/31/04,1.328060124,1.112852087,,0,68.5
4/1/04,1.330891809,1.093030294,,0,73
4/2/04,1.345050233,1.073208501,,1.778,68
4/3/04,1.36770371,1.078871871,,0,70
4/4/04,1.336555178,1.081703555,,6.35,67
4/5/04,1.345050233,1.36770371,,0,68
4/6/04,1.393188872,1.548931531,,45.72,63.5
4/7/04,1.500792891,1.721664298,,0,71
4/8/04,1.517782999,1.874575271,,0,68
4/9/04,1.514951315,1.962357497,,0,70
4/10/04,1.517782999,1.976515921,,14.732,67.5
4/11/04,1.574416693,2.17473385,,11.938,51.5
4/12/04,1.65087218,2.446575581,,0,55.5
4/13/04,1.667862288,2.40410031,,0,55.5
4/14/04,1.673525658,2.375783463,,0,58.5
4/15/04,1.673525658,2.341803247,,0,64.5
4/16/04,1.673525658,2.327644823,,0,69
4/17/04,1.667862288,2.279506184,,0,72.5
4/18/04,1.667862288,2.231367544,,0,72.5
4/19/04,1.667862288,2.163407111,,0,74
4/20/04,1.676357342,2.129426894,,0,72.5
4/21/04,1.676357342,2.112436786,,0,74.5
4/22/04,1.673525658,2.092614993,,0,77.5
4/23/04,1.667862288,2.055803092,,0,76
4/24/04,1.673525658,2.183228904,,15.748,68.5
4/25/04,1.670693973,2.327644823,,0.762,67
4/26/04,1.673525658,2.310654715,,0.254,70
4/27/04,1.679189027,2.412595364,,0,70.5
4/28/04,1.707505874,2.406931995,,0,65.5
4/29/04,1.840595055,2.392773572,,3.302,71
4/30/04,1.755644514,2.40976368,,0.254,77
5/1/04,1.716000928,2.387110202,,10.668,64.5
5/2/04,1.724495982,2.395605256,,0,62.5
5/3/04,1.716000928,2.398436941,,0,67.5
5/4/04,1.707505874,2.389941887,,0,69.5
5/5/04,1.741486091,2.384278517,,0,70
5/6/04,1.741486091,2.375783463,,0,73.5
5/7/04,1.741486091,2.392773572,,0,74
5/8/04,1.741486091,2.389941887,,0.508,75
5/9/04,1.741486091,2.378615148,,19.558,75.5
5/10/04,1.741486091,2.36162504,,0,78.5
5/11/04,1.74714946,2.341803247,,9.906,73.5
5/12/04,1.755644514,2.319149769,,0.254,78.5
5/13/04,1.766971253,2.304991346,,24.892,74
5/14/04,1.840595055,2.372951779,,8.128,68.5
5/15/04,1.888733695,2.364456725,,0,68.5
5/16/04,1.888733695,2.344634932,,0,74
5/17/04,1.888733695,2.324813139,,0,79
5/18/04,1.88590201,2.302159661,,0,81
5/19/04,1.883070326,2.290832922,,0,80.5
5/20/04,1.871743587,2.177565534,,0,80.5
5/21/04,1.854753479,2.132258579,,0,80
5/22/04,1.83776337,2.123763525,,0,80
5/23/04,1.809446523,2.112436786,,0,79.5
5/24/04,1.78962473,2.092614993,,0,80.5
5/25/04,1.775466307,2.0727932,,0,81.5
5/26/04,1.761307883,2.055803092,,0,81.5
5/27/04,1.749981145,2.041644669,,3.81,81.5
5/28/04,1.741486091,2.035981299,,0,81
5/29/04,1.730159352,2.021822876,,0,83.5
5/30/04,1.718832613,2.007664452,,1.27,84
5/31/04,1.716000928,1.976515921,,5.842,89
6/1/04,1.732991036,1.93970402,,0,83
6/2/04,1.704674189,1.89156538,,0,86
6/3/04,1.696179135,1.84342674,,25.908,78.5
6/4/04,1.693347451,1.823604947,,0.508,80
